date,trailName,bike,pedestrian,id
9/30/2020 17:00,Fremont Bridge,348,,1
9/30/2020 18:00,Fremont Bridge,266,,1
9/30/2020 19:00,Fremont Bridge,156,,1
9/30/2020 20:00,Fremont Bridge,70,,1
9/30/2020 21:00,Fremont Bridge,40,,1
9/30/2020 22:00,Fremont Bridge,23,,1
9/30/2020 23:00,Fremont Bridge,17,,1
9/22/2020 15:00,Burke-Gilman Trail,200,200,2
9/22/2020 16:00,Burke-Gilman Trail,290,290,2
9/22/2020 17:00,Burke-Gilman Trail,274,274,2
9/22/2020 18:00,Burke-Gilman Trail,255,255,2
9/22/2020 19:00,Burke-Gilman Trail,110,110,2
9/22/2020 20:00,Burke-Gilman Trail,22,22,2
9/22/2020 21:00,Burke-Gilman Trail,9,9,2
9/22/2020 22:00,Burke-Gilman Trail,6,6,2
9/22/2020 23:00,Burke-Gilman Trail,6,6,2
9/23/2020 0:00,Burke-Gilman Trail,0,0,2
9/23/2020 1:00,Burke-Gilman Trail,3,3,2
9/23/2020 2:00,Burke-Gilman Trail,1,1,2
9/23/2020 3:00,Burke-Gilman Trail,0,0,2
9/23/2020 4:00,Burke-Gilman Trail,6,6,2
9/23/2020 5:00,Burke-Gilman Trail,10,10,2
9/23/2020 6:00,Burke-Gilman Trail,21,21,2
9/23/2020 7:00,Burke-Gilman Trail,69,69,2
9/23/2020 8:00,Burke-Gilman Trail,58,58,2
9/23/2020 9:00,Burke-Gilman Trail,54,54,2
9/23/2020 10:00,Burke-Gilman Trail,29,29,2
9/23/2020 11:00,Burke-Gilman Trail,35,35,2
9/23/2020 12:00,Burke-Gilman Trail,29,29,2
9/23/2020 13:00,Burke-Gilman Trail,16,16,2
9/23/2020 14:00,Burke-Gilman Trail,24,24,2
9/23/2020 15:00,Burke-Gilman Trail,35,35,2
9/23/2020 16:00,Burke-Gilman Trail,40,40,2
9/23/2020 17:00,Burke-Gilman Trail,55,55,2
9/23/2020 18:00,Burke-Gilman Trail,55,55,2
9/23/2020 19:00,Burke-Gilman Trail,18,18,2
9/23/2020 20:00,Burke-Gilman Trail,4,4,2
9/23/2020 21:00,Burke-Gilman Trail,9,9,2
9/23/2020 22:00,Burke-Gilman Trail,4,4,2
9/23/2020 23:00,Burke-Gilman Trail,3,3,2
9/24/2020 0:00,Burke-Gilman Trail,0,0,2
9/24/2020 1:00,Burke-Gilman Trail,0,0,2
9/24/2020 2:00,Burke-Gilman Trail,0,0,2
9/24/2020 3:00,Burke-Gilman Trail,0,0,2
9/24/2020 4:00,Burke-Gilman Trail,0,0,2
9/24/2020 5:00,Burke-Gilman Trail,9,9,2
9/24/2020 6:00,Burke-Gilman Trail,15,15,2
9/24/2020 7:00,Burke-Gilman Trail,44,44,2
9/24/2020 8:00,Burke-Gilman Trail,54,54,2
9/24/2020 9:00,Burke-Gilman Trail,32,32,2
